02/07 19:16 更新,#genre#
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
浙江电信-组播1,#genre#
浙江电信-组播2,#genre#
浙江电信-组播3,#genre#
江苏电信-组播1,#genre#
江苏电信-组播2,#genre#
江苏电信-组播3,#genre#
湖北电信-组播1,#genre#
湖北电信-组播2,#genre#
湖北电信-组播3,#genre#
河南电信-组播1,#genre#
河南电信-组播2,#genre#
河南电信-组播3,#genre#
河北联通-组播1,#genre#
CCTV-17农业农村,http://121.29.141.162:4022/rtp/239.253.93.150:6318
CCTV-5+体育赛事,http://121.29.141.162:4022/rtp/239.253.92.82:8013
CCTV电视指南,http://121.29.141.162:4022/rtp/239.253.93.249:6427
CCTV第一剧场,http://121.29.141.162:4022/rtp/239.253.93.138:6428
CCTV风云剧场,http://121.29.141.162:4022/rtp/239.253.93.251:6429
CCTV怀旧剧场,http://121.29.141.162:4022/rtp/239.253.93.252:6430
CCTV风云音乐,http://121.29.141.162:4022/rtp/239.253.93.253:6431
CCTV风云足球,http://121.29.141.162:4022/rtp/239.253.93.254:6432
CCTV高尔夫网球,http://121.29.141.162:4022/rtp/239.253.93.122:6465
CCTV央视文化精品,http://121.29.141.162:4022/rtp/239.253.93.175:6439
CCTV央视台球,http://121.29.141.162:4022/rtp/239.253.93.231:6409
CCTV兵器科技,http://121.29.141.162:4022/rtp/239.253.93.47:6435
CCTV世界地理,http://121.29.141.162:4022/rtp/239.253.92.131:6113
CCTV女性时尚,http://121.29.141.162:4022/rtp/239.253.92.144:6114
湖南卫视,http://121.29.141.162:4022/rtp/239.253.92.84:8015
浙江卫视,http://121.29.141.162:4022/rtp/239.253.92.90:8020
江苏卫视,http://121.29.141.162:4022/rtp/239.253.92.88:8018
北京卫视,http://121.29.141.162:4022/rtp/239.253.92.87:8014
东南卫视,http://121.29.141.162:4022/rtp/239.253.92.201:6146
东方卫视,http://121.29.141.162:4022/rtp/239.253.92.89:8019
天津卫视,http://121.29.141.162:4022/rtp/239.253.92.91:8021
深圳卫视,http://121.29.141.162:4022/rtp/239.253.92.86:8017
山东卫视,http://121.29.141.162:4022/rtp/239.253.92.207:8109
广东卫视,http://121.29.141.162:4022/rtp/239.253.92.206:8108
黑龙江卫视,http://121.29.141.162:4022/rtp/239.253.92.85:8016
辽宁卫视,http://121.29.141.162:4022/rtp/239.253.92.115:6056
安徽卫视,http://121.29.141.162:4022/rtp/239.253.92.209:6566
湖北卫视,http://121.29.141.162:4022/rtp/239.253.92.210:6567
四川卫视,http://121.29.141.162:4022/rtp/239.253.92.16:6043
重庆卫视,http://121.29.141.162:4022/rtp/239.253.92.10:6053
