更新时间: 2026-05-03 05:00:03

央视频道,#genre#
CCTV4美洲,http://39.87.232.178:4004/rtp/239.253.254.187:8000
CCTV4美洲,http://39.77.162.237:4002/rtp/239.253.254.187:8000
CCTV4欧洲,http://114.250.22.176:8188/rtp/239.3.1.213:4220
CCTV4欧洲,http://123.120.0.171:4022/rtp/239.3.1.213:4220
CCTV4欧洲,http://221.220.130.93:9999/rtp/239.3.1.213:4220
CCTV4欧洲,http://114.248.1.66:23456/rtp/239.3.1.213:4220
CCTV4欧洲,http://221.219.178.216:4022/rtp/239.3.1.213:4220
CCTV4欧洲,http://121.29.215.187:2083/udp/239.253.93.192:6370
CCTV4欧洲,http://60.4.30.6:8077/udp/239.253.93.192:6370
CCTV4欧洲,http://27.223.140.6:4001/rtp/239.253.254.186:8000
CCTV4欧洲,http://39.87.233.138:4000/rtp/239.253.254.186:8000
CCTV4欧洲,http://39.87.232.178:4004/rtp/239.253.254.186:8000
CCTV4欧洲,http://39.77.162.237:4002/rtp/239.253.254.186:8000
CCTV5,http://115.58.142.128:4000/rtp/225.1.4.159:1195
CCTV5,http://182.114.137.129:8800/rtp/225.1.4.159:1195
CCTV5,http://219.156.210.92:10000/rtp/225.1.4.159:1195
CCTV5,http://219.156.33.17:4022/rtp/225.1.4.159:1195
CCTV5,http://115.58.142.128:4000/rtp/225.1.4.75:1104
CCTV5,http://182.114.137.129:8800/rtp/225.1.4.75:1104
CCTV5,http://219.156.210.92:10000/rtp/225.1.4.75:1104
CCTV5,http://219.156.33.17:4022/rtp/225.1.4.75:1104
CCTV5,http://114.250.22.176:8188/rtp/239.3.1.173:8001
CCTV5,http://123.120.0.171:4022/rtp/239.3.1.173:8001
CCTV5,http://221.220.130.93:9999/rtp/239.3.1.173:8001
CCTV5,http://114.248.1.66:23456/rtp/239.3.1.173:8001
CCTV5,http://221.219.178.216:4022/rtp/239.3.1.173:8001
CCTV5,http://121.29.215.187:2083/udp/239.253.92.181:6046
CCTV5,http://60.4.30.6:8077/udp/239.253.92.181:6046
CCTV5,http://27.223.140.6:4001/rtp/239.253.254.192:8000
CCTV5,http://39.87.233.138:4000/rtp/239.253.254.192:8000
CCTV5,http://39.87.232.178:4004/rtp/239.253.254.192:8000
CCTV5,http://39.77.162.237:4002/rtp/239.253.254.192:8000
CCTV5+,http://114.250.22.176:8188/rtp/239.3.1.130:8004
CCTV5+,http://123.120.0.171:4022/rtp/239.3.1.130:8004
CCTV5+,http://221.220.130.93:9999/rtp/239.3.1.130:8004
CCTV5+,http://114.248.1.66:23456/rtp/239.3.1.130:8004
CCTV5+,http://221.219.178.216:4022/rtp/239.3.1.130:8004
CCTV5+,http://121.29.215.187:2083/udp/239.253.92.82:8013
CCTV5+,http://60.4.30.6:8077/udp/239.253.92.82:8013
CCTV5+,http://27.223.140.6:4001/rtp/239.253.254.80:8000
CCTV5+,http://39.87.233.138:4000/rtp/239.253.254.80:8000
CCTV5+,http://39.87.232.178:4004/rtp/239.253.254.80:8000
CCTV5+,http://39.77.162.237:4002/rtp/239.253.254.80:8000
CCTV6,http://115.58.142.128:4000/rtp/225.1.4.160:1196
CCTV6,http://182.114.137.129:8800/rtp/225.1.4.160:1196
CCTV6,http://219.156.210.92:10000/rtp/225.1.4.160:1196
CCTV6,http://219.156.33.17:4022/rtp/225.1.4.160:1196
CCTV6,http://114.250.22.176:8188/rtp/239.3.1.174:8001
CCTV6,http://123.120.0.171:4022/rtp/239.3.1.174:8001
CCTV6,http://221.220.130.93:9999/rtp/239.3.1.174:8001
CCTV6,http://114.248.1.66:23456/rtp/239.3.1.174:8001
CCTV6,http://221.219.178.216:4022/rtp/239.3.1.174:8001
CCTV6,http://121.29.215.187:2083/udp/239.253.92.193:6058
CCTV6,http://60.4.30.6:8077/udp/239.253.92.193:6058
CCTV6,http://27.223.140.6:4001/rtp/239.253.254.193:8000
CCTV6,http://39.87.233.138:4000/rtp/239.253.254.193:8000
CCTV6,http://39.87.232.178:4004/rtp/239.253.254.193:8000
CCTV6,http://39.77.162.237:4002/rtp/239.253.254.193:8000
CCTV7,http://115.58.142.128:4000/rtp/225.1.4.76:1105
CCTV7,http://182.114.137.129:8800/rtp/225.1.4.76:1105
CCTV7,http://219.156.210.92:10000/rtp/225.1.4.76:1105
CCTV7,http://219.156.33.17:4022/rtp/225.1.4.76:1105
CCTV7,http://114.250.22.176:8188/rtp/239.3.1.61:8104
CCTV7,http://123.120.0.171:4022/rtp/239.3.1.61:8104
CCTV7,http://221.220.130.93:9999/rtp/239.3.1.61:8104
